episode_id,scenario_name,config_name,pedestrian_mode,seed,dropout_prob,outcome,duration_s,wall_s,path_length_m,min_human_distance_m,intervention_count_total,intervention_count_cause_0,intervention_count_cause_1,intervention_count_cause_2,intervention_count_cause_3,intervention_count_cause_4,intervention_count_cause_5,intervention_count_cause_6,intervention_count_cause_7
noise_sweep_dropout0.3_seed6,open_arena,policy_supervised,reactive,6,0.3,timeout,120.2,128.18734376700013,0.4729551660584929,0.39202840633051594,449,0,232,0,0,217,0,0,0
noise_sweep_dropout0.3_seed7,open_arena,policy_supervised,reactive,7,0.3,timeout,120.2,128.23578911100049,1.7801470135774236,0.4367375795906453,442,0,154,0,0,288,0,0,0
noise_sweep_dropout0.5_seed0,open_arena,policy_supervised,reactive,0,0.5,timeout,120.2,128.33549782200134,0.14749129200795164,0.5000004719935389,431,0,105,0,0,326,0,0,0
noise_sweep_dropout0.5_seed1,open_arena,policy_supervised,reactive,1,0.5,timeout,120.2,128.18922840899904,0.07907525898419393,0.4940408211292153,433,0,218,0,0,215,0,0,0
noise_sweep_dropout0.5_seed2,open_arena,policy_supervised,reactive,2,0.5,collision,68.15,80.2150809090017,1.8988191656966527e-06,0.38376307283754313,248,0,131,0,0,117,0,0,0
noise_sweep_dropout0.5_seed3,open_arena,policy_supervised,reactive,3,0.5,timeout,120.2,127.42846839000413,0.2330352413979687,0.4860698757025156,430,0,252,0,0,178,0,0,0
noise_sweep_dropout0.5_seed4,open_arena,policy_supervised,reactive,4,0.5,timeout,120.2,128.1457607620032,0.1881839333813047,0.449508524746881,433,0,181,0,0,252,0,0,0
noise_sweep_dropout0.5_seed5,open_arena,policy_supervised,reactive,5,0.5,timeout,120.2,128.23727024199616,0.11496854390222079,0.43548642515743713,430,0,238,0,0,192,0,0,0
noise_sweep_dropout0.5_seed6,open_arena,policy_supervised,reactive,6,0.5,timeout,120.2,128.17427830000088,0.23290995530255806,0.44980214227834714,430,0,230,0,0,200,0,0,0
noise_sweep_dropout0.5_seed7,open_arena,policy_supervised,reactive,7,0.5,timeout,120.2,128.1378434340004,0.2144636987046278,0.46082665788454014,433,0,155,0,0,278,0,0,0
depot_keepout_block_baseline_mppi,depot_keepout_block,baseline_mppi,reactive,0,0.0,success,94.2,102.15041033900343,6.371295194952467,,0,0,0,0,0,0,0,0,0
depot_keepout_block_policy_raw,depot_keepout_block,policy_raw,reactive,0,0.0,keepout_violation,6.22,14.375311320000037,0.6387243930168683,,0,0,0,0,0,0,0,0,0
depot_keepout_block_policy_supervised,depot_keepout_block,policy_supervised,reactive,0,0.0,timeout,120.2,128.23986382100702,0.37984878229169616,,428,0,0,0,0,0,3,425,0
